"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8702,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8621,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.3281,0,0,0,3,1,0.068378,0.001058,0,0,1.5,0.034949,0,0
0.002105,0.000104,-0.097896,3.3081,0,0,0,1,1,0.014678,0.00085016,-9.0903e-07,0.00036842,1.4799,0.028081,-2.7872e-05,0.012162
0.004105,0.000104,-0.099896,2.8674,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.3119,0,0,0,1,1,-0.0015852,0.00049727,-6.7397e-06,9.1024e-05,1.4836,0.016423,-0.00022028,0.0029999
0.006105,0.000104,-0.099896,2.8712,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.318,0,0,0,1,1,0.014314,0.0004946,1.7887e-06,-8.8549e-05,1.4896,0.016333,6.118e-05,-0.0029323
0.008105,0.000104,-0.099896,2.8706,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.3205,0,0,0,1,1,0.023417,0.00060818,-7.6129e-06,-4.4955e-05,1.4921,0.020086,-0.0002496,-0.0014947
0.010105,0.000104,-0.099896,2.868,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.3188,0,0,0,1,1,0.012916,0.00055831,-7.9712e-06,9.3275e-05,1.4904,0.01844,-0.00026144,0.0030738
0.012105,0.000104,-0.099896,2.8696,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.321,0,0,0,1,1,0.0089985,0.00045968,-7.2835e-06,1.2448e-05,1.4927,0.015181,-0.00023865,0.00040413
0.014105,0.000104,-0.099896,2.8702,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.3213,0,0,0,1,1,0.016995,0.00046624,-2.2585e-06,-2.8431e-05,1.4929,0.015397,-7.2768e-05,-0.00094745
0.016105,0.000104,-0.099896,2.8696,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.321,0,0,0,1,1,0.017512,0.00048691,2.1389e-06,5.3794e-06,1.4926,0.016081,7.2417e-05,0.00016911
0.018105,0.000104,-0.099896,2.8693,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.3214,0,0,0,1,1,0.012391,0.00044739,4.2977e-07,2.2775e-05,1.493,0.014775,1.5964e-05,0.00074484
0.020105,0.000104,-0.099896,2.8699,0,0,0,2,0,0,0,0,0,0,0,0,0
