"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,3.0575,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,3.0482,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.5778,0,0,0,3,1,0.05282,0.001034,0,0,1.5,0.034156,0,0
0.002105,0.000104,-0.097896,3.5545,0,0,0,1,1,0.00066324,0.00083295,-1.1699e-06,0.00036622,1.4767,0.027519,-3.9601e-05,0.012106
0.004105,0.000104,-0.099896,3.0528,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.5564,0,0,0,1,1,-0.014946,0.00048644,-7.1783e-06,9.5796e-05,1.4786,0.016072,-0.00023832,0.0031731
0.006105,0.000104,-0.099896,3.0564,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.5618,0,0,0,1,1,0.00019639,0.00048417,1.178e-06,-8.1906e-05,1.484,0.015997,3.7863e-05,-0.0026986
0.008105,0.000104,-0.099896,3.056,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.5643,0,0,0,1,1,0.0089748,0.00059618,-8.2224e-06,-3.7707e-05,1.4866,0.019698,-0.00027262,-0.001237
0.010105,0.000104,-0.099896,3.0536,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.5629,0,0,0,1,1,-0.00099325,0.00054619,-8.5464e-06,9.8005e-05,1.4851,0.018045,-0.00028331,0.0032455
0.012105,0.000104,-0.099896,3.0553,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.5654,0,0,0,1,1,-0.0047437,0.00044903,-7.5431e-06,1.751e-05,1.4877,0.014836,-0.00025013,0.00058598
0.014105,0.000104,-0.099896,3.0561,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.5659,0,0,0,1,1,0.0029506,0.00045649,-2.7477e-06,-2.3182e-05,1.4882,0.015083,-9.1707e-05,-0.00075808
0.016105,0.000104,-0.099896,3.0555,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.5657,0,0,0,1,1,0.0035084,0.00047682,1.5828e-06,1.143e-05,1.488,0.015754,5.143e-05,0.00038577
0.018105,0.000104,-0.099896,3.0553,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.5661,0,0,0,1,1,-0.0013154,0.00043727,-6.2761e-09,2.7963e-05,1.4884,0.014448,-1.0749e-06,0.00093122
0.020105,0.000104,-0.099896,3.0559,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.5667,0,0,0,1,1,-0.00081521,0.00040644,1.8998e-07,-6.2886e-07,1.489,0.013429,5.3773e-06,-1.3198e-05
0.022105,0.000104,-0.099896,3.0558,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.5663,0,0,0,1,1,0.0024538,0.00041485,-3.6868e-06,4.2718e-07,1.4886,0.013707,-0.00012258,2.1785e-05
0.024105,0.000104,-0.099896,3.0555,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.5664,0,0,0,1,1,0.0011301,0.00040806,-1.8532e-06,1.6719e-05,1.4886,0.013482,-6.1974e-05,0.00055993
0.026105,0.000104,-0.099896,3.0555,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.566,0,0,0,1,1,-0.0013285,0.0003722,3.2668e-06,1.1408e-05,1.4883,0.012298,0.00010716,0.00038409
0.028105,0.000104,-0.099896,3.0559,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.5663,0,0,0,1,1,0.0010723,0.00037349,-8.2232e-07,-7.2408e-06,1.4886,0.012341,-2.7868e-05,-0.00023171
0.030105,0.000104,-0.099896,3.0556,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.5661,0,0,0,1,1,0.002143,0.0003775,-2.7452e-06,6.7817e-06,1.4884,0.012473,-9.1338e-05,0.00023147
