"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8944,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8868,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.36,0,0,0,3,1,0.05586,0.000902,0,0,1.5,0.029796,0,0
0.002105,0.000104,-0.097896,3.3412,0,0,0,1,1,0.010928,0.00071668,-1.5394e-06,0.0003207,1.4812,0.023674,-5.0973e-05,0.010593
0.004105,0.000104,-0.099896,2.8913,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.344,0,0,0,1,1,-0.0015797,0.00041355,-6.0243e-06,7.7171e-05,1.484,0.013661,-0.00019911,0.0025488
0.006105,0.000104,-0.099896,2.8946,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.3492,0,0,0,1,1,0.010823,0.00041836,1.2849e-06,-7.5002e-05,1.4892,0.01382,4.2345e-05,-0.0024778
0.008105,0.000104,-0.099896,2.894,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.3513,0,0,0,1,1,0.017602,0.00051268,-7.5301e-06,-2.7018e-05,1.4913,0.016935,-0.00024882,-0.00089265
0.010105,0.000104,-0.099896,2.8919,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.35,0,0,0,1,1,0.0091881,0.00046115,-7.7257e-06,8.6087e-05,1.49,0.015233,-0.00025529,0.0028434
0.012105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.3522,0,0,0,1,1,0.0063871,0.00037801,-5.8734e-06,1.0375e-05,1.4922,0.012487,-0.00019411,0.00034244
0.014105,0.000104,-0.099896,2.8941,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.3526,0,0,0,1,1,0.012784,0.00038929,-2.1662e-06,-2.2892e-05,1.4925,0.012859,-7.164e-05,-0.00075635
0.016105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.3522,0,0,0,1,1,0.012999,0.00040413,1.4117e-06,1.2999e-05,1.4922,0.01335,4.6549e-05,0.00042918
0.018105,0.000104,-0.099896,2.8933,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.3525,0,0,0,1,1,0.0090105,0.00036571,2.7963e-07,2.4084e-05,1.4924,0.01208,9.1511e-06,0.00079533
0.020105,0.000104,-0.099896,2.8938,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.353,0,0,0,1,1,0.0094733,0.00034086,5.0871e-07,-2.9731e-06,1.493,0.01126,1.6723e-05,-9.8421e-05
0.022105,0.000104,-0.099896,2.8937,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.3525,0,0,0,1,1,0.012063,0.00034864,-3.1793e-06,-4.4541e-07,1.4925,0.011516,-0.0001051,-1.4888e-05
0.024105,0.000104,-0.099896,2.8934,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.3524,0,0,0,1,1,0.010922,0.00034055,-1.5343e-06,1.4993e-05,1.4924,0.011249,-5.0755e-05,0.00049506
0.026105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.3521,0,0,0,1,1,0.0089261,0.00030977,2.8529e-06,8.0044e-06,1.4921,0.010232,9.4169e-05,0.00026422
0.028105,0.000104,-0.099896,2.8938,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.3522,0,0,0,1,1,0.010902,0.00031195,-4.87e-07,-7.4492e-06,1.4922,0.010305,-1.6151e-05,-0.00024625
0.030105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.3518,0,0,0,1,1,0.0117,0.00031448,-2.0595e-06,6.3124e-06,1.4918,0.010388,-6.8091e-05,0.00020836
0.032105,0.000104,-0.099896,2.8933,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.3512,0,0,0,1,1,0.0095159,0.00029124,4.7081e-07,1.3533e-05,1.4912,0.0096204,1.5495e-05,0.00044688
0.034105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.3509,0,0,0,1,1,0.0095724,0.00027873,-5.7746e-07,5.1166e-07,1.4909,0.0092072,-1.9125e-05,1.6741e-05
0.036105,0.000104,-0.099896,2.8935,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.3503,0,0,0,1,1,0.011107,0.00028371,2.6872e-07,-3.9344e-06,1.4903,0.0093718,8.8291e-06,-0.00013012
0.038105,0.000104,-0.099896,2.8931,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.3495,0,0,0,1,1,0.010765,0.00027924,-7.8025e-07,8.1951e-06,1.4895,0.0092242,-2.5817e-05,0.00027057
0.040105,0.000104,-0.099896,2.8931,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.3489,0,0,0,1,1,0.0096165,0.00026259,2.6729e-07,6.932e-06,1.4889,0.0086741,8.7923e-06,0.00022884
0.042105,0.000104,-0.099896,2.893,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.3478,0,0,0,1,1,0.010033,0.00025641,5.3844e-07,1.6429e-07,1.4878,0.0084698,1.7754e-05,5.2925e-06
0.044105,0.000104,-0.099896,2.8928,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.3467,0,0,0,1,1,0.010754,0.00025768,-7.7939e-07,1.1185e-06,1.4867,0.008512,-2.5775e-05,3.6818e-05
