"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,3.0966,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,3.0886,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.6297,0,0,0,3,1,0.059819,0.000938,0,0,1.5,0.030985,0,0
0.002105,0.000104,-0.097896,3.61,0,0,0,1,1,0.012884,0.00074777,-1.3321e-06,0.00033253,1.4802,0.024702,-4.4046e-05,0.010986
0.004105,0.000104,-0.099896,3.0932,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.6126,0,0,0,1,1,-0.00042797,0.00043285,-6.1436e-06,8.1372e-05,1.4828,0.014299,-0.00020306,0.0026899
0.006105,0.000104,-0.099896,3.0965,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.6179,0,0,0,1,1,0.012747,0.00043593,1.4387e-06,-7.7583e-05,1.4881,0.014401,4.7391e-05,-0.0025612
0.008105,0.000104,-0.099896,3.0959,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.62,0,0,0,1,1,0.020047,0.00053499,-7.5396e-06,-3.0439e-05,1.4903,0.017673,-0.00024918,-0.0010037
0.010105,0.000104,-0.099896,3.0938,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.6187,0,0,0,1,1,0.011197,0.00048367,-7.7772e-06,8.8746e-05,1.489,0.015978,-0.00025702,0.0029333
0.012105,0.000104,-0.099896,3.0954,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.621,0,0,0,1,1,0.0081638,0.00039672,-6.1541e-06,1.1569e-05,1.4912,0.013106,-0.00020339,0.00038385
0.014105,0.000104,-0.099896,3.096,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.6214,0,0,0,1,1,0.014929,0.00040709,-2.1537e-06,-2.3659e-05,1.4916,0.013448,-7.1246e-05,-0.00077991
0.016105,0.000104,-0.099896,3.0954,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.6211,0,0,0,1,1,0.015228,0.00042335,1.6274e-06,1.2036e-05,1.4913,0.013985,5.3667e-05,0.0003993
0.018105,0.000104,-0.099896,3.0952,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.6214,0,0,0,1,1,0.011014,0.00038446,3.7546e-07,2.4571e-05,1.4916,0.012701,1.2315e-05,0.00081329
0.020105,0.000104,-0.099896,3.0958,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.6219,0,0,0,1,1,0.011496,0.00035799,5.954e-07,-3.0122e-06,1.4922,0.011826,1.9577e-05,-9.7878e-05
0.022105,0.000104,-0.099896,3.0957,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.6215,0,0,0,1,1,0.014274,0.00036593,-3.1695e-06,-8.0423e-07,1.4917,0.012089,-0.00010477,-2.4954e-05
0.024105,0.000104,-0.099896,3.0954,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.6215,0,0,0,1,1,0.013089,0.00035807,-1.4739e-06,1.493e-05,1.4917,0.011829,-4.8757e-05,0.00049481
0.026105,0.000104,-0.099896,3.0955,0,0,0,2,0,0,0,0,0,0,0,0,0
