"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.7873,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.7792,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2175,0,0,0,3,1,0.058288,0.001026,0,0,1.5,0.033892,0,0
0.002105,0.000104,-0.097896,3.1972,0,0,0,1,1,0.0065611,0.00082265,-9.7294e-07,0.00035839,1.4796,0.027176,-3.2304e-05,0.011839
0.004105,0.000104,-0.099896,2.7842,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.2004,0,0,0,1,1,-0.008784,0.00047981,-6.6876e-06,8.8099e-05,1.4827,0.01585,-0.00022134,0.0029118
0.006105,0.000104,-0.099896,2.7878,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2061,0,0,0,1,1,0.0063885,0.00047862,1.528e-06,-8.6174e-05,1.4883,0.015809,5.0153e-05,-0.0028466
0.008105,0.000104,-0.099896,2.7872,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2084,0,0,0,1,1,0.014998,0.00058854,-7.7793e-06,-4.1721e-05,1.4906,0.019442,-0.00025744,-0.0013795
0.010105,0.000104,-0.099896,2.7846,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2068,0,0,0,1,1,0.0050127,0.00053838,-8.1157e-06,9.1651e-05,1.489,0.017786,-0.00026857,0.003028
0.012105,0.000104,-0.099896,2.7862,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2091,0,0,0,1,1,0.0014025,0.00044278,-7.1586e-06,1.1728e-05,1.4913,0.014627,-0.00023681,0.00038784
0.014105,0.000104,-0.099896,2.7869,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.2095,0,0,0,1,1,0.0090905,0.00045047,-2.4218e-06,-2.7834e-05,1.4917,0.01488,-8.0344e-05,-0.00092018
0.016105,0.000104,-0.099896,2.7863,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2093,0,0,0,1,1,0.0095836,0.00047016,1.7994e-06,6.5596e-06,1.4915,0.015532,5.9125e-05,0.00021591
0.018105,0.000104,-0.099896,2.7861,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2097,0,0,0,1,1,0.0047741,0.00043085,2.1628e-07,2.2729e-05,1.4919,0.014233,6.8724e-06,0.00075061
0.020105,0.000104,-0.099896,2.7867,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.2103,0,0,0,1,1,0.0053256,0.0004006,4.0829e-07,-5.6419e-06,1.4926,0.013234,1.3259e-05,-0.00018686
0.022105,0.000104,-0.099896,2.7866,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.21,0,0,0,1,1,0.0085707,0.00040898,-3.4902e-06,-4.3099e-06,1.4923,0.01351,-0.00011555,-0.00014329
0.024105,0.000104,-0.099896,2.7864,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.2102,0,0,0,1,1,0.007224,0.00040207,-1.7056e-06,1.1849e-05,1.4924,0.013283,-5.6564e-05,0.0003906
0.026105,0.000104,-0.099896,2.7865,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.2099,0,0,0,1,1,0.0047957,0.0003667,3.3304e-06,6.5213e-06,1.4921,0.012114,0.00010986,0.00021474
0.028105,0.000104,-0.099896,2.7868,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.2103,0,0,0,1,1,0.0071997,0.00036813,-7.2562e-07,-1.1889e-05,1.4925,0.012161,-2.413e-05,-0.0003937
0.030105,0.000104,-0.099896,2.7865,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.2101,0,0,0,1,1,0.0082489,0.00037211,-2.6541e-06,2.2463e-06,1.4924,0.012293,-8.7819e-05,7.3048e-05
0.032105,0.000104,-0.099896,2.7864,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.2097,0,0,0,1,1,0.00569,0.0003466,4.6314e-07,1.1909e-05,1.492,0.01145,1.5194e-05,0.00039236
0.034105,0.000104,-0.099896,2.7866,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.2096,0,0,0,1,1,0.0057276,0.00033165,-8.8433e-07,-1.6878e-06,1.4919,0.010956,-2.9305e-05,-5.6824e-05
0.036105,0.000104,-0.099896,2.7867,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.2094,0,0,0,1,1,0.0075594,0.00033679,5.0862e-08,-8.2476e-06,1.4916,0.011126,1.6233e-06,-0.00027371
0.038105,0.000104,-0.099896,2.7864,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.2089,0,0,0,1,1,0.0072325,0.00033245,-1.1107e-06,4.9423e-06,1.4912,0.010982,-3.6727e-05,0.00016194
0.040105,0.000104,-0.099896,2.7864,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.2086,0,0,0,1,1,0.0058987,0.00031394,-8.9639e-08,4.5599e-06,1.4909,0.010371,-2.9841e-06,0.00014932
0.042105,0.000104,-0.099896,2.7864,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.208,0,0,0,1,1,0.0063607,0.00030639,3.2352e-07,-2.4269e-06,1.4902,0.010121,1.0677e-05,-8.1564e-05
0.044105,0.000104,-0.099896,2.7863,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.2073,0,0,0,1,1,0.0072522,0.00030785,-1.2172e-06,-2.3781e-06,1.4896,0.010169,-4.0185e-05,-8.0034e-05
0.046105,0.000104,-0.099896,2.7861,0,0,0,2,0,0,0,0,0,0,0,0,0
0.046105,0.000104,-0.097896,3.2064,0,0,0,1,1,0.0064714,0.00029834,-9.9886e-07,3.0956e-06,1.4887,0.0098551,-3.296e-05,0.00010076
0.048105,0.000104,-0.099896,2.786,0,0,0,2,0,0,0,0,0,0,0,0,0
0.048105,0.000104,-0.097896,3.2054,0,0,0,1,1,0.0062175,0.0002895,9.2665e-07,-4.9388e-07,1.4877,0.0095627,3.0662e-05,-1.785e-05
0.050105,0.000104,-0.099896,2.7859,0,0,0,2,0,0,0,0,0,0,0,0,0
0.050105,0.000104,-0.097896,3.2043,0,0,0,1,1,0.0068999,0.0002879,-2.9758e-07,-1.5469e-06,1.4866,0.0095098,-9.7666e-06,-5.2709e-05
0.052105,0.000104,-0.099896,2.7856,0,0,0,2,0,0,0,0,0,0,0,0,0
0.052105,0.000104,-0.097896,3.2027,0,0,0,1,1,0.0066371,0.00028176,-8.4825e-07,9.3857e-07,1.485,0.0093071,-2.7951e-05,2.935e-05
0.054105,0.000104,-0.099896,2.7854,0,0,0,2,0,0,0,0,0,0,0,0,0
