"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8472,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8397,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2972,0,0,0,3,1,0.056793,0.000922,0,0,1.5,0.030456,0,0
0.002105,0.000104,-0.097896,3.2783,0,0,0,1,1,0.010765,0.00073364,-1.5087e-06,0.00032691,1.4811,0.024233,-4.9623e-05,0.010797
0.004105,0.000104,-0.099896,2.8443,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.2813,0,0,0,1,1,-0.0021941,0.00042408,-6.1571e-06,7.8911e-05,1.484,0.014008,-0.0002031,0.002605
0.006105,0.000104,-0.099896,2.8476,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2867,0,0,0,1,1,0.010634,0.00042807,1.3057e-06,-7.677e-05,1.4894,0.01414,4.3406e-05,-0.0025374
0.008105,0.000104,-0.099896,2.8471,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2888,0,0,0,1,1,0.017683,0.0005249,-7.5855e-06,-2.9207e-05,1.4916,0.017338,-0.00025031,-0.00096645
0.010105,0.000104,-0.099896,2.8449,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2875,0,0,0,1,1,0.0090048,0.00047348,-7.8116e-06,8.709e-05,1.4903,0.01564,-0.00025779,0.0028753
0.012105,0.000104,-0.099896,2.8465,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2897,0,0,0,1,1,0.0060714,0.00038836,-6.1041e-06,1.0612e-05,1.4925,0.012828,-0.00020139,0.00034904
0.014105,0.000104,-0.099896,2.8471,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.2901,0,0,0,1,1,0.012667,0.00039916,-2.225e-06,-2.3617e-05,1.4928,0.013185,-7.3261e-05,-0.00078167
0.016105,0.000104,-0.099896,2.8465,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2898,0,0,0,1,1,0.012909,0.00041475,1.4612e-06,1.2101e-05,1.4925,0.0137,4.8489e-05,0.00039817
0.018105,0.000104,-0.099896,2.8463,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2901,0,0,0,1,1,0.0087757,0.00037614,2.5303e-07,2.3958e-05,1.4928,0.012424,8.5764e-06,0.00078993
0.020105,0.000104,-0.099896,2.8469,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.2906,0,0,0,1,1,0.0092445,0.00035047,4.7764e-07,-3.3271e-06,1.4934,0.011576,1.5995e-05,-0.00011139
0.022105,0.000104,-0.099896,2.8468,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.2902,0,0,0,1,1,0.011929,0.00035834,-3.2478e-06,-9.4968e-07,1.4929,0.011836,-0.00010709,-3.2853e-05
0.024105,0.000104,-0.099896,2.8465,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.2901,0,0,0,1,1,0.01074,0.00035042,-1.5787e-06,1.4577e-05,1.4929,0.011575,-5.1965e-05,0.00048007
0.026105,0.000104,-0.099896,2.8466,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.2898,0,0,0,1,1,0.0086615,0.00031893,2.9099e-06,7.8428e-06,1.4926,0.010534,9.6304e-05,0.00025766
0.028105,0.000104,-0.099896,2.8469,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.29,0,0,0,1,1,0.0107,0.00032099,-5.3435e-07,-8.0518e-06,1.4928,0.010603,-1.7485e-05,-0.00026742
0.030105,0.000104,-0.099896,2.8465,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.2896,0,0,0,1,1,0.011526,0.00032374,-2.1608e-06,5.7881e-06,1.4924,0.010693,-7.1226e-05,0.00018977
0.032105,0.000104,-0.099896,2.8464,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.2891,0,0,0,1,1,0.0092619,0.00030016,4.5409e-07,1.3328e-05,1.4919,0.0099143,1.514e-05,0.00043888
0.034105,0.000104,-0.099896,2.8466,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.2889,0,0,0,1,1,0.0093082,0.00028727,-6.334e-07,2.6777e-07,1.4916,0.0094886,-2.0792e-05,7.474e-06
0.036105,0.000104,-0.099896,2.8465,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.2884,0,0,0,1,1,0.010887,0.00029225,2.3323e-07,-4.4962e-06,1.4911,0.0096531,7.8233e-06,-0.0001499
0.038105,0.000104,-0.099896,2.8462,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.2876,0,0,0,1,1,0.01053,0.0002878,-8.3559e-07,7.7568e-06,1.4904,0.0095062,-2.7496e-05,0.00025487
0.040105,0.000104,-0.099896,2.8462,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.2871,0,0,0,1,1,0.009333,0.00027092,2.0762e-07,6.6132e-06,1.4898,0.0089484,6.9526e-06,0.00021711
0.042105,0.000104,-0.099896,2.8462,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.2861,0,0,0,1,1,0.0097545,0.00026449,5.0346e-07,-6.6891e-08,1.4889,0.0087362,1.6715e-05,-3.5317e-06
0.044105,0.000104,-0.099896,2.846,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.2851,0,0,0,1,1,0.010498,0.00026574,-8.435e-07,6.4792e-07,1.4878,0.0087773,-2.7792e-05,2.0087e-05
0.046105,0.000104,-0.099896,2.8457,0,0,0,2,0,0,0,0,0,0,0,0,0
0.046105,0.000104,-0.097896,3.2838,0,0,0,1,1,0.0097623,0.00025691,-5.5075e-07,5.6212e-06,1.4866,0.0084858,-1.8132e-05,0.00018439
0.048105,0.000104,-0.099896,2.8456,0,0,0,2,0,0,0,0,0,0,0,0,0
0.048105,0.000104,-0.097896,3.2824,0,0,0,1,1,0.0095497,0.00024899,1.0892e-06,1.9639e-06,1.4851,0.0082241,3.6031e-05,6.3592e-05
0.050105,0.000104,-0.099896,2.8454,0,0,0,2,0,0,0,0,0,0,0,0,0
0.050105,0.000104,-0.097896,3.2807,0,0,0,1,1,0.010148,0.00024757,8.0215e-08,1.1362e-06,1.4834,0.0081771,2.6921e-06,3.627e-05
0.052105,0.000104,-0.099896,2.845,0,0,0,2,0,0,0,0,0,0,0,0,0
0.052105,0.000104,-0.097896,3.2785,0,0,0,1,1,0.0098669,0.00024182,-3.7122e-07,3.5072e-06,1.4813,0.0079874,-1.2233e-05,0.0001146
0.054105,0.000104,-0.099896,2.8447,0,0,0,2,0,0,0,0,0,0,0,0,0
0.054105,0.000104,-0.097896,3.2761,0,0,0,1,1,0.0095717,0.00023478,2.1315e-07,3.3359e-06,1.4788,0.0077547,7.0627e-06,0.00010896
0.056105,0.000104,-0.099896,2.8444,0,0,0,2,0,0,0,0,0,0,0,0,0
0.056105,0.000104,-0.097896,3.2733,0,0,0,1,1,0.0096899,0.00023066,5.67e-07,3.9753e-07,1.476,0.0076187,1.8746e-05,1.1913e-05
0.058105,0.000104,-0.099896,2.8439,0,0,0,2,0,0,0,0,0,0,0,0,0
0.058105,0.000104,-0.097896,3.2698,0,0,0,1,1,0.009869,0.0002287,8.1362e-08,1.7013e-06,1.4726,0.0075538,2.6937e-06,5.4993e-05
0.060105,0.000104,-0.099896,2.8433,0,0,0,2,0,0,0,0,0,0,0,0,0
0.060105,0.000104,-0.097896,3.2657,0,0,0,1,1,0.0098449,0.00022475,1.9103e-07,3.6138e-06,1.4685,0.0074234,6.3085e-06,0.00011818
0.062105,0.000104,-0.099896,2.8427,0,0,0,2,0,0,0,0,0,0,0,0,0
0.062105,0.000104,-0.097896,3.261,0,0,0,1,1,0.0094437,0.00021747,6.3816e-07,2.8264e-06,1.4638,0.0071828,2.1072e-05,9.2187e-05
0.064105,0.000104,-0.099896,2.842,0,0,0,2,0,0,0,0,0,0,0,0,0
0.064105,0.000104,-0.097896,3.2554,0,0,0,1,1,0.0095797,0.00021388,6.7414e-07,4.5421e-08,1.4582,0.0070645,2.2255e-05,3.3933e-07
0.066105,0.000104,-0.099896,2.8411,0,0,0,2,0,0,0,0,0,0,0,0,0
0.066105,0.000104,-0.097896,3.2487,0,0,0,1,1,0.0098547,0.0002126,5.7106e-08,1.784e-06,1.4514,0.007022,1.8666e-06,5.7782e-05
0.068105,0.000104,-0.099896,2.84,0,0,0,2,0,0,0,0,0,0,0,0,0
0.068105,0.000104,-0.097896,3.2408,0,0,0,1,1,0.0095241,0.00020778,3.8763e-07,3.3432e-06,1.4436,0.006863,1.2779e-05,0.00010931
0.070105,0.000104,-0.099896,2.8388,0,0,0,2,0,0,0,0,0,0,0,0,0
0.070105,0.000104,-0.097896,3.2316,0,0,0,1,1,0.0094867,0.00020304,1.0406e-06,1.9649e-06,1.4343,0.0067065,3.4344e-05,6.3788e-05
0.072105,0.000104,-0.099896,2.8374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.072105,0.000104,-0.097896,3.2207,0,0,0,1,1,0.0096677,0.00019991,8.2107e-07,6.0573e-07,1.4234,0.006603,2.7089e-05,1.8906e-05
0.074105,0.000104,-0.099896,2.8357,0,0,0,2,0,0,0,0,0,0,0,0,0
0.074105,0.000104,-0.097896,3.2077,0,0,0,1,1,0.0095463,0.00019685,2.8974e-07,2.2942e-06,1.4104,0.006502,9.5331e-06,7.4697e-05
0.076105,0.000104,-0.099896,2.8337,0,0,0,2,0,0,0,0,0,0,0,0,0
0.076105,0.000104,-0.097896,3.1923,0,0,0,1,1,0.009433,0.00019244,7.8948e-07,2.5605e-06,1.3951,0.006356,2.6039e-05,8.3507e-05
0.078105,0.000104,-0.099896,2.8313,0,0,0,2,0,0,0,0,0,0,0,0,0
0.078105,0.000104,-0.097896,3.1754,0,0,0,1,1,0.0095376,0.00018827,1.1188e-06,1.4562e-06,1.3781,0.019204,3.9797e-05,0.0016037
0.00010501,0.000104,-0.095896,3.2972,0,0,0,3,1,-0.00041612,0.000922,0,0,1.5,0.030456,0,0
0.002105,0.000104,-0.095896,3.286,0,0,0,1,1,0.016498,0.0010944,-4.229e-06,0.00037484,1.4888,0.03615,-0.00013936,0.012379
0.004105,0.000104,-0.095896,3.2826,0,0,0,1,1,0.010123,0.0012061,7.0233e-06,0.00024011,1.4854,0.03984,0.00023246,0.007928
0.006105,0.000104,-0.095896,3.2937,0,0,0,1,1,0.0066901,0.0010199,1.991e-06,-1.3863e-05,1.4964,0.033688,6.6178e-05,-0.00046114
0.008105,0.000104,-0.095896,3.294,0,0,0,1,1,0.0096862,0.00085575,5.0565e-06,-2.2913e-05,1.4968,0.028267,0.00016741,-0.00076035
0.010105,0.000104,-0.095896,3.292,0,0,0,1,1,0.012849,0.00085392,8.1741e-06,8.575e-05,1.4947,0.028206,0.00027039,0.002829
0.012105,0.000104,-0.095896,3.2911,0,0,0,1,1,0.010371,0.00087299,-2.7095e-06,4.9423e-05,1.4938,0.028837,-8.9127e-05,0.0016292
0.014105,0.000104,-0.095896,3.2925,0,0,0,1,1,0.0088609,0.00081845,1.8442e-06,1.7538e-07,1.4953,0.027035,6.128e-05,2.5297e-06
0.016105,0.000104,-0.095896,3.2928,0,0,0,1,1,0.010871,0.00078015,-1.3093e-06,1.9617e-05,1.4955,0.02577,-4.2912e-05,0.00064464
