"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8247,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8159,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2674,0,0,0,3,1,0.058787,0.001046,0,0,1.5,0.034553,0,0
0.002105,0.000104,-0.097896,3.2461,0,0,0,1,1,0.005949,0.00084021,-6.1054e-07,0.00036465,1.4786,0.027758,-1.9613e-05,0.012049
0.004105,0.000104,-0.099896,2.8207,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.2487,0,0,0,1,1,-0.0098613,0.0004908,-6.4232e-06,9.0565e-05,1.4811,0.016214,-0.00021204,0.0029979
0.006105,0.000104,-0.099896,2.8242,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2541,0,0,0,1,1,0.005774,0.00048818,1.9567e-06,-8.7604e-05,1.4864,0.016126,6.4717e-05,-0.0028906
0.008105,0.000104,-0.099896,2.8235,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2564,0,0,0,1,1,0.014707,0.0006008,-7.4619e-06,-4.4125e-05,1.4886,0.019848,-0.00024659,-0.0014554
0.010105,0.000104,-0.099896,2.8208,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2546,0,0,0,1,1,0.0044866,0.00055107,-7.8063e-06,9.2961e-05,1.4869,0.018206,-0.00025794,0.0030755
0.012105,0.000104,-0.099896,2.8225,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2569,0,0,0,1,1,0.0007386,0.00045316,-6.9785e-06,1.2448e-05,1.4892,0.01497,-0.0002304,0.00041548
0.014105,0.000104,-0.099896,2.8232,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.2573,0,0,0,1,1,0.0086312,0.00046006,-2.0847e-06,-2.8374e-05,1.4896,0.015198,-6.8817e-05,-0.00093457
0.016105,0.000104,-0.099896,2.8226,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2571,0,0,0,1,1,0.0091858,0.00048062,2.25e-06,5.7188e-06,1.4894,0.015878,7.4422e-05,0.000192
0.018105,0.000104,-0.099896,2.8224,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2575,0,0,0,1,1,0.0042569,0.00044113,6.0029e-07,2.2859e-05,1.4898,0.014574,1.9967e-05,0.0007587
0.020105,0.000104,-0.099896,2.823,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.2582,0,0,0,1,1,0.004811,0.00040981,7.9153e-07,-5.7621e-06,1.4905,0.013538,2.628e-05,-0.00018707
0.022105,0.000104,-0.099896,2.823,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.2578,0,0,0,1,1,0.0081689,0.00041819,-3.1465e-06,-4.6613e-06,1.4901,0.013815,-0.00010384,-0.00015118
0.024105,0.000104,-0.099896,2.8227,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.258,0,0,0,1,1,0.0068052,0.00041141,-1.3384e-06,1.1643e-05,1.4903,0.013592,-4.408e-05,0.0003876
0.026105,0.000104,-0.099896,2.8228,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.2576,0,0,0,1,1,0.0043006,0.00037513,3.8215e-06,6.5926e-06,1.49,0.012393,0.00012642,0.00022083
0.028105,0.000104,-0.099896,2.8232,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.258,0,0,0,1,1,0.0067721,0.00037631,-3.6522e-07,-1.2322e-05,1.4904,0.012432,-1.1931e-05,-0.00040418
