"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.9253,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.9173,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.4016,0,0,0,3,1,0.069443,0.001054,0,0,1.5,0.034817,0,0
0.002105,0.000104,-0.097896,3.3816,0,0,0,1,1,0.01593,0.00084707,-1.1177e-06,0.00036803,1.48,0.027977,-3.4729e-05,0.012147
0.004105,0.000104,-0.099896,2.9226,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.3855,0,0,0,1,1,-0.00028064,0.00049538,-6.9463e-06,9.1466e-05,1.4839,0.01636,-0.00022688,0.0030119
0.006105,0.000104,-0.099896,2.9265,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.3917,0,0,0,1,1,0.015487,0.00049301,1.5772e-06,-8.7494e-05,1.49,0.016281,5.442e-05,-0.0028991
0.008105,0.000104,-0.099896,2.926,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.3943,0,0,0,1,1,0.024523,0.00060612,-7.7992e-06,-4.3593e-05,1.4926,0.020017,-0.0002555,-0.0014512
0.010105,0.000104,-0.099896,2.9234,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.3927,0,0,0,1,1,0.014064,0.00055609,-8.1536e-06,9.3896e-05,1.4909,0.018366,-0.00026723,0.0030922
0.012105,0.000104,-0.099896,2.925,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.395,0,0,0,1,1,0.010146,0.00045789,-7.4321e-06,1.3132e-05,1.4932,0.015121,-0.00024338,0.00042473
0.014105,0.000104,-0.099896,2.9256,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.3952,0,0,0,1,1,0.018083,0.00046464,-2.4348e-06,-2.751e-05,1.4934,0.015343,-7.8409e-05,-0.00091861
0.016105,0.000104,-0.099896,2.925,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.3949,0,0,0,1,1,0.018579,0.00048512,1.9498e-06,6.4151e-06,1.4932,0.016021,6.6326e-05,0.00020162
0.018105,0.000104,-0.099896,2.9247,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.3953,0,0,0,1,1,0.013468,0.00044558,2.6026e-07,2.3572e-05,1.4935,0.014715,1.0504e-05,0.00076942
0.020105,0.000104,-0.099896,2.9253,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.3959,0,0,0,1,1,0.013959,0.00041416,4.5456e-07,-4.9734e-06,1.4941,0.013676,1.6911e-05,-0.0001737
0.022105,0.000104,-0.099896,2.9252,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.3955,0,0,0,1,1,0.017298,0.00042249,-3.4395e-06,-3.7677e-06,1.4937,0.013951,-0.0001119,-0.00013419
0.024105,0.000104,-0.099896,2.925,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.3956,0,0,0,1,1,0.015815,0.00041563,-1.617e-06,1.2445e-05,1.4939,0.013725,-5.1767e-05,0.00040151
0.026105,0.000104,-0.099896,2.925,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.3953,0,0,0,1,1,0.013189,0.00037913,3.5807e-06,7.4923e-06,1.4935,0.012519,0.00011991,0.00023839
0.028105,0.000104,-0.099896,2.9254,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.3956,0,0,0,1,1,0.015625,0.00038027,-6.1538e-07,-1.1515e-05,1.4939,0.012557,-1.8828e-05,-0.00038975
0.030105,0.000104,-0.099896,2.9251,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.3954,0,0,0,1,1,0.016667,0.00038437,-2.6163e-06,2.7403e-06,1.4937,0.012692,-8.501e-05,8.1074e-05
0.032105,0.000104,-0.099896,2.9249,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.395,0,0,0,1,1,0.013931,0.00035814,6.6986e-07,1.2899e-05,1.4932,0.011826,2.3465e-05,0.0004169
0.034105,0.000104,-0.099896,2.9251,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.3949,0,0,0,1,1,0.013877,0.00034245,-7.1097e-07,-7.6165e-07,1.4931,0.011308,-2.2243e-05,-3.4156e-05
0.036105,0.000104,-0.099896,2.9252,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.3946,0,0,0,1,1,0.01572,0.00034739,2.5382e-07,-7.7852e-06,1.4928,0.011471,9.5557e-06,-0.00026628
0.038105,0.000104,-0.099896,2.9249,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.3941,0,0,0,1,1,0.015325,0.0003428,-9.0999e-07,5.6294e-06,1.4923,0.011319,-2.8982e-05,0.00017692
0.040105,0.000104,-0.099896,2.9249,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.3937,0,0,0,1,1,0.013865,0.00032364,1.4135e-07,5.463e-06,1.492,0.010686,5.6535e-06,0.00017155
0.042105,0.000104,-0.099896,2.9249,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.3931,0,0,0,1,1,0.014275,0.00031546,6.308e-07,-1.4931e-06,1.4913,0.010416,2.1738e-05,-5.8132e-05
0.044105,0.000104,-0.099896,2.9248,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.3924,0,0,0,1,1,0.015141,0.00031662,-9.4272e-07,-1.7304e-06,1.4907,0.010454,-3.0316e-05,-6.595e-05
0.046105,0.000104,-0.099896,2.9246,0,0,0,2,0,0,0,0,0,0,0,0,0
0.046105,0.000104,-0.097896,3.3915,0,0,0,1,1,0.014269,0.00030664,-7.1137e-07,3.9186e-06,1.4898,0.010125,-2.2759e-05,0.00012076
0.048105,0.000104,-0.099896,2.9245,0,0,0,2,0,0,0,0,0,0,0,0,0
0.048105,0.000104,-0.097896,3.3905,0,0,0,1,1,0.013943,0.00029715,1.3354e-06,4.2834e-07,1.4888,0.0098112,4.4782e-05,5.5587e-06
0.050105,0.000104,-0.099896,2.9243,0,0,0,2,0,0,0,0,0,0,0,0,0
0.050105,0.000104,-0.097896,3.3894,0,0,0,1,1,0.014594,0.00029503,8.8532e-08,-6.4514e-07,1.4877,0.0097412,3.5215e-06,-2.981e-05
0.052105,0.000104,-0.099896,2.9241,0,0,0,2,0,0,0,0,0,0,0,0,0
0.052105,0.000104,-0.097896,3.3878,0,0,0,1,1,0.014266,0.0002884,-4.5575e-07,1.7098e-06,1.4861,0.009522,-1.4544e-05,4.8008e-05
