"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8083,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8004,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2457,0,0,0,3,1,0.070892,0.001066,0,0,1.5,0.035213,0,0
0.002105,0.000104,-0.097896,3.2259,0,0,0,1,1,0.016693,0.00085699,-1.096e-06,0.00037089,1.4801,0.028304,-3.3966e-05,0.01224
0.004105,0.000104,-0.099896,2.8058,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.23,0,0,0,1,1,0.00018812,0.00050164,-7.0378e-06,9.1629e-05,1.4842,0.016567,-0.00022986,0.0030165
0.006105,0.000104,-0.099896,2.8097,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2362,0,0,0,1,1,0.016268,0.00049868,1.5881e-06,-8.9185e-05,1.4903,0.016467,5.4849e-05,-0.0029561
0.008105,0.000104,-0.099896,2.8092,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2388,0,0,0,1,1,0.025496,0.00061312,-7.8269e-06,-4.5756e-05,1.4928,0.020248,-0.00025642,-0.0015243
0.010105,0.000104,-0.099896,2.8065,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2371,0,0,0,1,1,0.014861,0.00056332,-8.1902e-06,9.3603e-05,1.4911,0.018604,-0.00026845,0.0030814
0.012105,0.000104,-0.099896,2.8081,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2394,0,0,0,1,1,0.010859,0.000464,-7.5682e-06,1.2557e-05,1.4934,0.015322,-0.00024785,0.00040474
0.014105,0.000104,-0.099896,2.8087,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.2396,0,0,0,1,1,0.018934,0.0004703,-2.4652e-06,-2.8586e-05,1.4936,0.01553,-7.9405e-05,-0.00095555
0.016105,0.000104,-0.099896,2.8081,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2393,0,0,0,1,1,0.019456,0.0004912,1.9732e-06,5.062e-06,1.4933,0.016221,6.7102e-05,0.00015549
0.018105,0.000104,-0.099896,2.8078,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2396,0,0,0,1,1,0.01425,0.00045165,2.3802e-07,2.274e-05,1.4937,0.014915,9.7776e-06,0.00074073
0.020105,0.000104,-0.099896,2.8084,0,0,0,2,0,0,0,0,0,0,0,0,0
