"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8032,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.7954,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2386,0,0,0,3,1,0.058049,0.000946,0,0,1.5,0.031249,0,0
0.002105,0.000104,-0.097896,3.2192,0,0,0,1,1,0.010696,0.00075428,-1.4179e-06,0.00033462,1.4807,0.024915,-4.6482e-05,0.011052
0.004105,0.000104,-0.099896,2.8002,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.2222,0,0,0,1,1,-0.0028127,0.00043696,-6.2899e-06,8.1459e-05,1.4837,0.014433,-0.00020734,0.002689
0.006105,0.000104,-0.099896,2.8036,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2277,0,0,0,1,1,0.010526,0.00043986,1.3569e-06,-7.8612e-05,1.4892,0.014529,4.5221e-05,-0.0025985
0.008105,0.000104,-0.099896,2.803,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2299,0,0,0,1,1,0.017917,0.00053976,-7.6309e-06,-3.1596e-05,1.4914,0.017829,-0.0002517,-0.0010458
0.010105,0.000104,-0.099896,2.8008,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2286,0,0,0,1,1,0.0089365,0.00048851,-7.8875e-06,8.8627e-05,1.49,0.016136,-0.00026019,0.0029258
0.012105,0.000104,-0.099896,2.8024,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2308,0,0,0,1,1,0.0058395,0.00040096,-6.3458e-06,1.125e-05,1.4922,0.013244,-0.00020926,0.00036991
0.014105,0.000104,-0.099896,2.803,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.2312,0,0,0,1,1,0.012672,0.00041113,-2.2674e-06,-2.4231e-05,1.4926,0.01358,-7.4553e-05,-0.00080227
0.016105,0.000104,-0.099896,2.8024,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2308,0,0,0,1,1,0.012962,0.00042766,1.5494e-06,1.131e-05,1.4922,0.014126,5.1507e-05,0.0003717
0.018105,0.000104,-0.099896,2.8022,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2311,0,0,0,1,1,0.0086667,0.0003888,2.5796e-07,2.4106e-05,1.4925,0.012842,8.8462e-06,0.00079458
0.020105,0.000104,-0.099896,2.8027,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.2317,0,0,0,1,1,0.009143,0.00036209,4.7588e-07,-3.4692e-06,1.4931,0.01196,1.6042e-05,-0.00011636
0.022105,0.000104,-0.099896,2.8027,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.2313,0,0,0,1,1,0.011943,0.00037009,-3.296e-06,-1.3182e-06,1.4927,0.012224,-0.00010859,-4.5346e-05
0.024105,0.000104,-0.099896,2.8024,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.2313,0,0,0,1,1,0.010713,0.00036235,-1.5958e-06,1.4404e-05,1.4927,0.011969,-5.2438e-05,0.00047404
0.026105,0.000104,-0.099896,2.8025,0,0,0,2,0,0,0,0,0,0,0,0,0
