"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8414,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8327,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.2897,0,0,0,3,1,0.059986,0.00105,0,0,1.5,0.034685,0,0
0.002105,0.000104,-0.097896,3.2667,0,0,0,1,1,0.0067516,0.00084792,-1.4586e-06,0.0003741,1.4772,0.028007,-4.8254e-05,0.012356
0.004105,0.000104,-0.099896,2.838,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.2697,0,0,0,1,1,-0.009465,0.00049613,-7.6194e-06,0.00010003,1.4802,0.016388,-0.00025144,0.0033004
0.006105,0.000104,-0.099896,2.8421,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.2761,0,0,0,1,1,0.0058917,0.0004935,9.0637e-07,-8.0717e-05,1.4866,0.016303,3.0144e-05,-0.0026682
0.008105,0.000104,-0.099896,2.8419,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.2791,0,0,0,1,1,0.01492,0.00060737,-8.5106e-06,-3.6212e-05,1.4896,0.020062,-0.00028078,-0.0011966
0.010105,0.000104,-0.099896,2.8396,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.2779,0,0,0,1,1,0.0046817,0.00055712,-8.8476e-06,0.00010153,1.4885,0.018401,-0.00029191,0.0033511
0.012105,0.000104,-0.099896,2.8414,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.2806,0,0,0,1,1,0.00067028,0.0004586,-7.9925e-06,2.0361e-05,1.4911,0.015148,-0.00026385,0.00066986
0.014105,0.000104,-0.099896,2.8421,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.281,0,0,0,1,1,0.0084544,0.0004657,-3.0556e-06,-2.0796e-05,1.4916,0.015383,-0.00010074,-0.00068827
0.016105,0.000104,-0.099896,2.8415,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.2808,0,0,0,1,1,0.0090029,0.00048633,1.3748e-06,1.373e-05,1.4913,0.016063,4.556e-05,0.00045204
0.018105,0.000104,-0.099896,2.8412,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.2811,0,0,0,1,1,0.0039686,0.00044657,-2.9792e-07,3.0529e-05,1.4916,0.01475,-9.7625e-06,0.0010063
0.020105,0.000104,-0.099896,2.8417,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.2816,0,0,0,1,1,0.0043847,0.00041527,-1.3112e-07,1.8548e-06,1.4922,0.013717,-4.3021e-06,5.9415e-05
0.022105,0.000104,-0.099896,2.8416,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.2812,0,0,0,1,1,0.0076684,0.00042372,-3.9822e-06,2.9334e-06,1.4917,0.013996,-0.00013149,9.5472e-05
0.024105,0.000104,-0.099896,2.8413,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.2812,0,0,0,1,1,0.0062401,0.00041685,-2.1347e-06,1.926e-05,1.4918,0.013768,-7.0516e-05,0.00063459
0.026105,0.000104,-0.099896,2.8413,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.2808,0,0,0,1,1,0.0036311,0.00038047,3.049e-06,1.3963e-05,1.4914,0.012567,0.00010063,0.00045946
0.028105,0.000104,-0.099896,2.8417,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.2812,0,0,0,1,1,0.0059974,0.00038178,-1.1174e-06,-4.932e-06,1.4917,0.01261,-3.699e-05,-0.00016444
0.030105,0.000104,-0.099896,2.8413,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.2809,0,0,0,1,1,0.0070424,0.00038587,-3.082e-06,9.2298e-06,1.4914,0.012745,-0.00010191,0.00030355
0.032105,0.000104,-0.099896,2.8411,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.2804,0,0,0,1,1,0.0043646,0.00035973,2.1492e-07,1.9278e-05,1.4909,0.011882,6.9269e-06,0.00063533
0.034105,0.000104,-0.099896,2.8413,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.2803,0,0,0,1,1,0.0042824,0.00034425,-1.1669e-06,5.3837e-06,1.4908,0.01137,-3.8731e-05,0.00017638
0.036105,0.000104,-0.099896,2.8413,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.28,0,0,0,1,1,0.0060912,0.00034935,-1.7673e-07,-1.5195e-06,1.4905,0.011539,-6.0684e-06,-5.1506e-05
0.038105,0.000104,-0.099896,2.841,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.2795,0,0,0,1,1,0.0057384,0.00034483,-1.3107e-06,1.1821e-05,1.49,0.011389,-4.3571e-05,0.00038923
0.040105,0.000104,-0.099896,2.841,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.2791,0,0,0,1,1,0.0043009,0.00032579,-2.4482e-07,1.1496e-05,1.4897,0.01076,-8.382e-06,0.00037847
0.042105,0.000104,-0.099896,2.841,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.2784,0,0,0,1,1,0.0046815,0.00031789,2.3726e-07,4.3357e-06,1.489,0.0105,7.5295e-06,0.00014203
0.044105,0.000104,-0.099896,2.8408,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.2778,0,0,0,1,1,0.005563,0.00031922,-1.299e-06,4.2774e-06,1.4883,0.010544,-4.3269e-05,0.00014015
0.046105,0.000104,-0.099896,2.8406,0,0,0,2,0,0,0,0,0,0,0,0,0
0.046105,0.000104,-0.097896,3.2769,0,0,0,1,1,0.0047367,0.00030934,-1.0508e-06,9.7533e-06,1.4874,0.010217,-3.509e-05,0.00032108
0.048105,0.000104,-0.099896,2.8405,0,0,0,2,0,0,0,0,0,0,0,0,0
0.048105,0.000104,-0.097896,3.2759,0,0,0,1,1,0.0043952,0.00030012,9.8786e-07,6.0575e-06,1.4864,0.009913,3.2238e-05,0.00019901
0.050105,0.000104,-0.099896,2.8403,0,0,0,2,0,0,0,0,0,0,0,0,0
0.050105,0.000104,-0.097896,3.2748,0,0,0,1,1,0.0050493,0.00029832,-2.4256e-07,4.9267e-06,1.4853,0.0098535,-8.4216e-06,0.00016174
0.052105,0.000104,-0.099896,2.8401,0,0,0,2,0,0,0,0,0,0,0,0,0
0.052105,0.000104,-0.097896,3.2732,0,0,0,1,1,0.0047786,0.00029184,-7.5592e-07,7.4677e-06,1.4838,0.0096393,-2.5396e-05,0.0002457
0.054105,0.000104,-0.099896,2.8399,0,0,0,2,0,0,0,0,0,0,0,0,0
0.054105,0.000104,-0.097896,3.2715,0,0,0,1,1,0.0044071,0.00028381,-2.3667e-08,7.3662e-06,1.482,0.0093742,-1.22e-06,0.0002424
0.056105,0.000104,-0.099896,2.8396,0,0,0,2,0,0,0,0,0,0,0,0,0
0.056105,0.000104,-0.097896,3.2695,0,0,0,1,1,0.0044503,0.00027894,3.2453e-07,3.9278e-06,1.48,0.0092134,1.0278e-05,0.00012885
0.058105,0.000104,-0.099896,2.8392,0,0,0,2,0,0,0,0,0,0,0,0,0
0.058105,0.000104,-0.097896,3.2669,0,0,0,1,1,0.0046601,0.00027671,-1.6115e-07,5.2875e-06,1.4774,0.00914,-5.7732e-06,0.00017384
0.060105,0.000104,-0.099896,2.8388,0,0,0,2,0,0,0,0,0,0,0,0,0
0.060105,0.000104,-0.097896,3.2639,0,0,0,1,1,0.004696,0.00027234,-4.9113e-08,7.4866e-06,1.4744,0.0089955,-2.0686e-06,0.00024647
