"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.8882,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.8805,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.3519,0,0,0,3,1,0.054373,0.00095,0,0,1.5,0.031381,0,0
0.002105,0.000104,-0.097896,3.3326,0,0,0,1,1,0.0068324,0.00075813,-1.4078e-06,0.00033677,1.4806,0.025041,-4.6279e-05,0.011121
0.004105,0.000104,-0.099896,2.8854,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.3357,0,0,0,1,1,-0.0067942,0.00043943,-6.341e-06,8.2766e-05,1.4838,0.014514,-0.00020916,0.0027297
0.006105,0.000104,-0.099896,2.8889,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.3414,0,0,0,1,1,0.0065752,0.00044219,1.3137e-06,-7.8132e-05,1.4895,0.014605,4.3656e-05,-0.0025843
0.008105,0.000104,-0.099896,2.8884,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.3438,0,0,0,1,1,0.014011,0.0005426,-7.6966e-06,-3.1076e-05,1.4919,0.017922,-0.00025396,-0.0010302
0.010105,0.000104,-0.099896,2.8862,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.3425,0,0,0,1,1,0.0049828,0.00049132,-7.9606e-06,8.9707e-05,1.4905,0.016228,-0.00026268,0.0029595
0.012105,0.000104,-0.099896,2.8878,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.3447,0,0,0,1,1,0.0018356,0.00040339,-6.4548e-06,1.2157e-05,1.4928,0.013324,-0.00021298,0.00039797
0.014105,0.000104,-0.099896,2.8885,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.3451,0,0,0,1,1,0.0086813,0.0004135,-2.3553e-06,-2.3503e-05,1.4931,0.013658,-7.7551e-05,-0.0007798
0.016105,0.000104,-0.099896,2.8878,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.3447,0,0,0,1,1,0.0089677,0.00043017,1.4761e-06,1.2021e-05,1.4928,0.014208,4.8982e-05,0.00039345
0.018105,0.000104,-0.099896,2.8876,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.345,0,0,0,1,1,0.0046368,0.00039128,1.5838e-07,2.4933e-05,1.4931,0.012924,5.4568e-06,0.00082013
0.020105,0.000104,-0.099896,2.8881,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.3456,0,0,0,1,1,0.005098,0.00036445,3.5873e-07,-2.6837e-06,1.4936,0.012037,1.2086e-05,-9.2099e-05
0.022105,0.000104,-0.099896,2.888,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.3451,0,0,0,1,1,0.0078973,0.00037251,-3.4197e-06,-5.7977e-07,1.4932,0.012304,-0.00011275,-2.2555e-05
0.024105,0.000104,-0.099896,2.8877,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.3451,0,0,0,1,1,0.0066478,0.00036484,-1.7239e-06,1.516e-05,1.4932,0.01205,-5.6743e-05,0.00049738
0.026105,0.000104,-0.099896,2.8878,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.3448,0,0,0,1,1,0.0044558,0.00033234,2.8947e-06,8.719e-06,1.4929,0.010977,9.5823e-05,0.00028472
0.028105,0.000104,-0.099896,2.8881,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.345,0,0,0,1,1,0.0065595,0.00033431,-7.1501e-07,-7.8395e-06,1.4931,0.011042,-2.3426e-05,-0.00026229
0.030105,0.000104,-0.099896,2.8878,0,0,0,2,0,0,0,0,0,0,0,0,0
